id	検証名	条件	期間	n	的中	主要ROI	頑健性チェック	判定	出典
1	3戦略in-sample基準値	strategy_spec完全準拠・単勝フラット	2014-2025	芝1650/ダ880/新馬254	79/61/50	芝156.2%/ダ153.9%/新馬175.4%	芝プラス10/12年・ダ8/12・新馬4/7	基準表(参考値)	v2_three_strats_roi.py / log268
2	母父版v2(置換)	芝v2母集団で父GOOD→母父GOODに置換	2014-2025	831	21	83.5%	プラス4/12年	不採用	test_bms_v2_shiba.py / log263
3	母父補完(父GOOD外×母父GOOD)	同上	2014-2025	661	12	69.9%	プラス3/12年	不採用	test_bms_v2_shiba.py / log263
4	旧・種牡馬スコア複勝戦略の再実行	種牡馬別過去複勝率top3・4番人気以下	2021-2026	35069	-	73.2%	4/22リーク修正後出力と完全一致	死亡確認(132.5%はリークの幻)	test_sire_bms_combo.py / log264
5	母父単体ROIスキャン	母父×馬場・学習n>=200&ROI>=120%	学2014-21/検2022-26	候補24	-	検証窓生存0/24	キングヘイロー125.8→78.5%等全崩壊	不採用	scan_bms_roi.py / log265
6	父×母父の個別ニックス	学習n>=100&ROI>=120%	学2014-21/検2022-26	候補60	-	生存1/60(ノヴェリスト×キンカメ検144.8% n=56)	偶然の期待値圏内	不採用	scan_sire_bms_pair_roi.py / log266
7	父系統×母父系統ペア	学習n>=300&ROI>=110%	学2014-21/検2022-26	候補3	-	3/3が検証110%超	最高配当除外で73.5/100.9/87.6%に崩壊	不採用(蜃気楼)	check_lineage_pair_robust.py / log266
8	1人気1倍台レース除外	fav<2.0のレースを3戦略から除外	2014-2025	芝268/ダ157/新馬77除外	-	芝156.2→162.7%/ダ153.9→149.1%/新馬175.4→149.0%	戦略間で符号逆転=ノイズ	不採用(芝のみ改善はp=0.24)	fav_odds_roi.py / log271
9	v2複勝版	同じ買い目を複勝で	2014-2025	芝1650	244	100.4%	全馬80.7→帯92.2→v2で100.4%(損益分岐)	単勝維持	log270
10	2歳未勝利オッズ帯マップ	芝ダ×7帯	学2014-21	芝ダ全帯	-	100%超の帯なし(最良ダ50-80=99%)	芝は正方向FLB	エッジの種なし	scan_2yo_maiden.py / log272
11	2歳未勝利ダ50-80×3走目以上	Stage2最有力	学2014-21/検2022-26	学873/検351	-/5	学128.3%→検89.4%	最高配当除外69.1%/上位2本50.1%	不採用(蜃気楼)	scan_2yo_maiden.py / log272
12	2歳未勝利×80倍未満×26軸	性別/季節/距離/前走/血統等	学2014-21/検2022-26	芝13542/ダ11015	-	学110%超は父ディープ×ダのみ(115.7%)	検証61.2%で崩壊	不採用	scan_2yo_u80.py / log273
13	芝2歳未勝利×夏×6月軸	夏絞り26軸で唯一両窓+	2014-2026	411	54	全期間119.3%	年別7/12年赤字・最高配当除外で学86.4/検106.8	不採用(蜃気楼)	log274
14	芝2歳未勝利×夏×サンデー他×1800m+	3階層ドリル	学2014-21/検2022-26	学330/検98	-/16	学101.1%→検151.5%	最高配当除外70.8%/2本除外52.9%	不採用(蜃気楼)	log274
15	同×サンデー系他×3走目以上	ユーザー指定組合せ	学2014-21/検2022-26	学340/検63	38/7	学97.1%→検182.7%	除外56.9%/41.6%・2024の691%(12点)が支え	不採用(学習窓で既に赤字)	log275付近
16	2026フォワード実測	公式strat_eval --season窓内	2026/6/1-7/5	芝52/ダ9/新馬22	1/0/6	芝36%/ダ0%/新馬116%	芝ダP(≤1|61,6%)≈9%=想定内下振れ	継続(n=200半減判定待ち)	strat_eval / log276
